Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     26.12     0.00        1     0.00     0.00  stack_init
  0.00     26.12     0.00        1     0.00     0.00  tablerehash

			Call graph


granularity: each sample hit covers 2 byte(s) for 0.04% of 26.12 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     98.7    0.00   25.77                 main [1]
                0.00   18.41       1/1           close_state [4]
                0.00    3.68       1/1           luaL_newstate [7]
                3.12    0.56       1/7           lua_pcallk <cycle 1> [264]
                0.00    0.00       1/3           lua_gc [112]
                0.00    0.00       1/40000949     l_alloc [63]
                0.00    0.00       1/168         lua_pushcclosure [132]
                0.00    0.00       1/4           lua_pushlightuserdata [243]
                0.00    0.00       1/5           lua_pushinteger [238]
                0.00    0.00       1/11          lua_toboolean [217]
                0.00    0.00       1/1           lua_close [272]
-----------------------------------------------
[2]     98.6   21.81    3.95       7+306946324 <cycle 1 as a whole> [2]
               20.65    3.80       1             luaV_execute <cycle 1> [3]
                1.16    0.08 306946270             luaD_precall <cycle 1> [11]
                0.00    0.04       9             luaD_rawrunprotected <cycle 1> [32]
                0.00    0.03       1             pmain <cycle 1> [38]
                0.00    0.00       1             luaD_protectedparser <cycle 1> [71]
                0.00    0.00      10             luaL_requiref <cycle 1> [87]
                0.00    0.00       1             luaL_openlibs <cycle 1> [93]
                0.00    0.00       1             luaL_loadfilex <cycle 1> [156]
                0.00    0.00       1             docall <cycle 1> [167]
                0.00    0.00      16             luaD_callnoyield <cycle 1> [205]
                0.00    0.00      10             lua_callk <cycle 1> [220]
                0.00    0.00       7             luaD_pcall <cycle 1> [230]
                0.00    0.00       2             lua_pcallk <cycle 1> [264]
                0.00    0.00       1             lua_load <cycle 1> [273]
-----------------------------------------------
                                   1             luaD_callnoyield <cycle 1> [205]
[3]     93.6   20.65    3.80       1         luaV_execute <cycle 1> [3]
                2.56    0.00 310000031/310000031     luaD_pretailcall [10]
                0.46    0.00 271946179/271946189     luaH_getshortstr [12]
                0.00    0.18  163935/163943      luaC_step [14]
                0.13    0.05 25000004/25000004     forprep [15]
                0.08    0.06 10000001/10000001     luaF_findupval [16]
                0.12    0.00 35000103/35000103     luaT_getvarargs [19]
                0.01    0.06 10000005/10000006     luaF_newLclosure [24]
                0.05    0.00 10000001/10000002     luaF_closeupval [29]
                0.04    0.00       4/4           luaT_adjustvarargs [33]
                0.00    0.00       6/203         luaV_finishset [64]
                0.00    0.00      32/32          luaG_traceexec [197]
                0.00    0.00       4/31          luaD_poscall [198]
                             306946254             luaD_precall <cycle 1> [11]
-----------------------------------------------
                0.00   18.41       1/1           main [1]
[4]     70.5    0.00   18.41       1         close_state [4]
                0.00   14.73       1/1           luaC_freeallobjects [5]
                0.00    3.68       1/1           luaD_closeprotected [9]
                0.00    0.00       1/2           f_luaopen [103]
                0.00    0.00       2/20000430     luaM_free_ [30]
-----------------------------------------------
                0.00   14.73       1/1           close_state [4]
[5]     56.4    0.00   14.73       1         luaC_freeallobjects [5]
                0.00   14.72       4/4           GCTM [6]
                0.01    0.00       1/1           enterinc [57]
                0.00    0.00     318/20000290     freeobj [28]
                0.00    0.00     318/20000430     luaM_free_ [30]
                0.00    0.00       6/6           luaF_freeproto [123]
                0.00    0.00      20/21          luaH_free [124]
                0.00    0.00       1/163938      separatetobefnz [179]
-----------------------------------------------
                0.00   14.72       4/4           luaC_freeallobjects [5]
[6]     56.4    0.00   14.72       4         GCTM [6]
               12.46    2.26       4/7           luaD_pcall <cycle 1> [230]
                0.00    0.00       4/271946189     luaH_getshortstr [12]
                0.00    0.00       4/4           luaT_gettmbyobj [242]
-----------------------------------------------
                0.00    3.68       1/1           main [1]
[7]     14.1    0.00    3.68       1         luaL_newstate [7]
                0.00    3.68       1/1           lua_newstate [8]
                0.00    0.00       1/1           lua_atpanic [271]
                0.00    0.00       1/1           lua_setwarnf [274]
-----------------------------------------------
                0.00    3.68       1/1           luaL_newstate [7]
[8]     14.1    0.00    3.68       1         lua_newstate [8]
                3.12    0.56       1/7           luaD_rawrunprotected <cycle 1> [32]
                0.00    0.00       1/40000949     l_alloc [63]
                0.00    0.00       1/1           luaS_hash [269]
-----------------------------------------------
                0.00    3.68       1/1           close_state [4]
[9]     14.1    0.00    3.68       1         luaD_closeprotected [9]
                3.12    0.56       1/7           luaD_rawrunprotected <cycle 1> [32]
-----------------------------------------------
                2.56    0.00 310000031/310000031     luaV_execute <cycle 1> [3]
[10]     9.8    2.56    0.00 310000031         luaD_pretailcall [10]
-----------------------------------------------
                                  16             luaD_callnoyield <cycle 1> [205]
                             306946254             luaV_execute <cycle 1> [3]
[11]     4.8    1.16    0.08 306946270         luaD_precall <cycle 1> [11]
                0.00    0.06       1/1           luaopen_package [26]
                0.00    0.01       1/1           luaopen_base [47]
                0.00    0.01       1/1           gctm [68]
                0.00    0.00       1/1           luaopen_io [78]
                0.00    0.00       1/1           luaopen_math [81]
                0.00    0.00       1/1           luaopen_string [83]
                0.00    0.00       1/1           luaopen_utf8 [88]
                0.00    0.00       1/1           luaopen_debug [89]
                0.00    0.00       1/1           luaopen_table [90]
                0.00    0.00       1/1           luaopen_os [92]
                0.00    0.00       1/1           luaopen_coroutine [91]
                0.00    0.00       3/3           f_gc [115]
                0.00    0.00       3/3           str_format [125]
                0.00    0.00       3/3           luaB_print [126]
                0.00    0.00      33/33          luaE_extendCI [127]
                0.00    0.00       2/3           luaD_reallocstack [164]
                0.00    0.00      27/31          luaD_poscall [198]
                0.00    0.00       6/6           os_clock [235]
                0.00    0.00       2/2           luaD_growstack [261]
                                   1             pmain <cycle 1> [38]
-----------------------------------------------
                0.00    0.00       4/271946189     GCTM [6]
                0.00    0.00       6/271946189     luaT_gettm [147]
                0.46    0.00 271946179/271946189     luaV_execute <cycle 1> [3]
[12]     1.7    0.46    0.00 271946189         luaH_getshortstr [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     0.7    0.19    0.00                 _init [13]
-----------------------------------------------
                0.00    0.00       1/163943      luaX_newstring [79]
                0.00    0.00       1/163943      lua_pushstring [109]
                0.00    0.00       1/163943      lua_newuserdatauv [110]
                0.00    0.00       1/163943      luaL_getsubtable [95]
                0.00    0.00       1/163943      luaopen_debug [89]
                0.00    0.00       1/163943      luaopen_package [26]
                0.00    0.00       1/163943      luaopen_string [83]
                0.00    0.00       1/163943      luaopen_table [90]
                0.00    0.18  163935/163943      luaV_execute <cycle 1> [3]
[14]     0.7    0.00    0.19  163943         luaC_step [14]
                0.03    0.10  819680/819684      dothecall [18]
                0.00    0.06  163936/163937      atomic [25]
                0.00    0.00  163936/163937      finishgencycle [180]
                0.00    0.00  163936/163945      luaE_setdebt [178]
                0.00    0.00      33/328167      reallymarkobject [175]
-----------------------------------------------
                0.13    0.05 25000004/25000004     luaV_execute <cycle 1> [3]
[15]     0.7    0.13    0.05 25000004         forprep [15]
                0.05    0.00 25000004/25000004     luaV_tointeger [27]
-----------------------------------------------
                0.08    0.06 10000001/10000001     luaV_execute <cycle 1> [3]
[16]     0.5    0.08    0.06 10000001         luaF_findupval [16]
                0.04    0.02 10000001/20000290     luaC_newobj [20]
-----------------------------------------------
                0.01    0.00       1/12          luaH_newkey <cycle 4> [49]
                0.01    0.00       1/12          luaH_getn [53]
                0.02    0.00       2/12          addk [42]
                0.02    0.00       2/12          lua_rawgeti [43]
                0.07    0.00       6/12          luaH_setint [22]
[17]     0.5    0.14    0.00      12         luaH_getint [17]
-----------------------------------------------
                0.00    0.00       4/819684      luaD_rawrunprotected <cycle 1> [32]
                0.03    0.10  819680/819684      luaC_step [14]
[18]     0.5    0.03    0.10  819684         dothecall [18]
                0.05    0.00 19999969/20000290     freeobj [28]
                0.04    0.01 19999969/20000430     luaM_free_ [30]
                0.00    0.00       1/21          luaH_free [124]
-----------------------------------------------
                0.12    0.00 35000103/35000103     luaV_execute <cycle 1> [3]
[19]     0.5    0.12    0.00 35000103         luaT_getvarargs [19]
-----------------------------------------------
