container,size,elem_size,ratio,test_duration,random_access,run_id,ops_per_second,actual_time_s,validation_checksum,peak_memory_kb,user_time_s,system_time_s,peak_memory_mb,error
linkedlist_seq,10,512,0.0,3.0,1,2,23389685.33,3.0,119287394,1720,2.94,0.0,1.6796875,False
linkedlist_seq,10,8388608,0.0,3.0,0,0,30615338.67,3.0,183692026,1748,2.88,0.0,1.70703125,False
linkedlist_seq,10,8388608,0.0,3.0,0,1,27717002.67,3.0,166302012,1700,2.94,0.0,1.66015625,False
linkedlist_seq,10,8388608,0.0,3.0,0,2,31695488.0,3.0,190172922,1744,2.94,0.0,1.703125,False
linkedlist_seq,10,8388608,0.0,3.0,1,0,27210986.67,3.0,138776032,1748,2.94,0.0,1.70703125,False
linkedlist_seq,10,8388608,0.0,3.0,1,1,29322080.0,3.0,149542608,1756,2.94,0.0,1.71484375,False
linkedlist_seq,10,8388608,0.0,3.0,1,2,29164358.35,3.0,148739120,1720,2.9,0.0,1.6796875,False
array,10000000,8,0.5,3.0,1,1,333.57,3.07,127119,128508,4.24,0.28,125.49609375,False
array,10000000,8,0.5,3.0,1,2,294.76,3.04,112372,128492,4.16,0.28,125.48046875,False
linkedlist_seq,1000,8,0.0,3.0,0,0,36567658.67,3.0,1601082880,1808,2.9,0.0,1.765625,False
array,10000000,8,0.5,3.0,1,0,330.12,3.005,124075,128512,4.95,0.29,125.5,False
linkedlist_seq,1000,8,0.0,3.0,0,1,34473952.0,3.0,33918480,1828,2.92,0.0,1.78515625,False
linkedlist_seq,1000,8,0.0,3.0,0,2,33867680.0,3.0,-419854896,1736,2.81,0.0,1.6953125,False
linkedlist_seq,1000,8,0.0,3.0,1,0,2105963.51,3.0,1547360465,1784,2.91,0.0,1.7421875,False
linkedlist_seq,1000,8,0.0,3.0,1,2,2146852.23,3.0,1577401213,1756,2.92,0.0,1.71484375,False
linkedlist_seq,1000,8,0.0,3.0,1,1,2257607.66,3.0,1658775652,1820,2.82,0.0,1.77734375,False
linkedlist_seq,1000,512,0.0,3.0,0,0,38924242.04,3.001,-924634400,1784,2.93,0.0,1.7421875,False
linkedlist_seq,1000,512,0.0,3.0,0,1,31727509.33,3.0,-2021825344,1752,2.61,0.06,1.7109375,False
linkedlist_seq,1000,512,0.0,3.0,0,2,39388096.0,3.0,-582832480,1764,2.9,0.0,1.72265625,False
linkedlist_seq,1000,512,0.0,3.0,1,0,2326942.45,3.0,1709718180,1808,2.91,0.0,1.765625,False
linkedlist_seq,1000,512,0.0,3.0,1,1,2277715.81,3.0,1673543363,1780,2.83,0.0,1.73828125,False
linkedlist_seq,1000,512,0.0,3.0,1,2,2220352.0,3.0,1631396469,1812,2.91,0.0,1.76953125,False
linkedlist_seq,100000,8,0.0,3.0,0,0,35404106.67,3.0,730115664,4732,2.91,0.0,4.62109375,False
linkedlist_seq,100000,8,0.0,3.0,0,1,36096117.33,3.0,1248083024,4756,2.94,0.0,4.64453125,False
linkedlist_seq,100000,8,0.0,3.0,0,2,44461738.67,3.0,-1080169312,4700,2.86,0.01,4.58984375,False
linkedlist_seq,100000,8,0.0,3.0,1,0,23152.72,3.001,17372551,4988,2.94,0.0,4.87109375,False
linkedlist_seq,100000,8,0.0,3.0,1,1,19397.64,3.006,14573369,5012,2.92,0.01,4.89453125,False
linkedlist_seq,100000,8,0.0,3.0,1,2,20597.05,3.0,15459071,5000,2.93,0.0,4.8828125,False
linkedlist_seq,100000,512,0.0,3.0,0,0,38968373.33,3.0,-896970032,4828,2.95,0.0,4.71484375,False
linkedlist_seq,100000,512,0.0,3.0,0,1,45377301.33,3.0,-394850016,4748,2.88,0.0,4.63671875,False
linkedlist_seq,100000,512,0.0,3.0,0,2,40550325.33,3.0,287141584,4836,2.93,0.0,4.72265625,False
linkedlist_seq,100000,512,0.0,3.0,1,0,23838.82,3.0,17915744,5000,2.95,0.0,4.8828125,False
linkedlist_seq,100000,512,0.0,3.0,1,1,23266.94,3.001,17485099,5020,2.94,0.0,4.90234375,False
linkedlist_seq,100000,512,0.0,3.0,1,2,22854.26,3.001,17132879,5012,2.95,0.0,4.89453125,False
linkedlist_seq,10,8,0.01,3.0,0,1,32836704.0,3.0,197020220,1784,2.86,0.01,1.7421875,False
linkedlist_seq,10,8,0.01,3.0,0,0,28805845.33,3.0,172835066,1760,2.95,0.0,1.71875,False
linkedlist_seq,10,8,0.01,3.0,0,2,35990709.33,3.0,215944252,1736,2.96,0.0,1.6953125,False
linkedlist_seq,10,8,0.01,3.0,1,0,28063168.0,3.0,176797958,1724,2.96,0.0,1.68359375,False
linkedlist_seq,10000000,8,0.0,3.0,0,0,33422410.67,3.0,-753173936,323800,3.26,0.35,316.2109375,False
linkedlist_seq,10000000,8,0.0,3.0,0,1,31369186.52,3.0,2005078576,323600,3.33,0.35,316.015625,False
linkedlist_seq,10,8,0.01,3.0,1,1,30324512.0,3.0,191044426,1796,2.92,0.0,1.75390625,False
linkedlist_seq,10,8,0.01,3.0,1,2,26430240.0,3.0,166510512,1708,2.93,0.0,1.66796875,False
linkedlist_seq,10000000,8,0.0,3.0,0,2,39141664.0,3.0,-767237552,323744,3.36,0.35,316.15625,False
linkedlist_seq,10,512,0.01,3.0,0,0,30840928.0,3.0,185045562,1784,2.95,0.0,1.7421875,False
linkedlist_seq,10,512,0.01,3.0,0,1,29877312.0,3.0,179263866,1784,2.95,0.0,1.7421875,False
linkedlist_seq,10,512,0.01,3.0,0,2,35301516.53,3.0,211809660,1740,2.89,0.0,1.69921875,False
linkedlist_seq,10,512,0.01,3.0,1,0,27293685.33,3.0,237455064,1712,2.94,0.0,1.671875,False
